"33554453","CCM_SIP_401_UNAUTHORIZED",
"50331669","CCM_SIP_402_PAYMENT_REQUIRED",
"67108885","CCM_SIP_403_FORBIDDEN",
"83886081","CCM_SIP_404_NOT_FOUND",
"100663359","CCM_SIP_405_METHOD_NOT_ALLOWED",
"117440591","CCM_SIP_406_NOT_ACCEPTABLE",
"134217749","CCM_SIP_407_PROXY_AUTHENTICATION_REQUIRED",
"150995046","CCM_SIP_408_REQUEST_TIMEOUT",
"184549398","CCM_SIP__410_GONE",
"201326719","CCM_SIP_411_LENGTH_REQUIRED",
"234881151","CCM_SIP_413_REQUEST_ENTITY_TOO_LONG",
"251658367","CCM_SIP_414_REQUEST_URI_TOO_LONG",
"268435535","CCM_SIP_415_UNSUPPORTED_MEDIA_TYPE",
"285212799","CCM_SIP_416_UNSUPPORTED_URI_SCHEME",
"83886207","CCM_SIP_420_BAD_EXTENSION",
"369098879","CCM_SIP_421_EXTENSION_REQUIRED",
"402653311","CCM_SIP_423_INTERVAL_TOO_BRIEF",
"419430421","CCM_SIP_424_BAD_LOCATION_INFO",
"570425365","rejectAnonymousCall",
"1073741842","CCM_SIP_480_TEMPORARILY_UNAVAILABLE",
"1090519081","CCM_SIP_481_CALL_LEG_DOES_NOT_EXIST",
"1107296281","CCM_SIP_482_LOOP_DETECTED",
"1124073497","CCM_SIP_483_TOO_MANY_HOOPS",
"1140850716","CCM_SIP_484_ADDRESS_INCOMPLETE",
"1157627905","CCM_SIP_485_AMBIGUOUS",
"1174405137","CCM_SIP_486_BUSY_HERE",
"1191182367","CCM_SIP_487_REQUEST_TERMINATED",
"1207959583","CCM_SIP_488_NOT_ACCEPTABLE_HERE",
"1258291217","CCM_SIP_491_REQUEST_PENDING",
"1291845649","CCM_SIP_493_UNDECIPHERABLE",
"1409286185","CCM_SIP_500_SERVER_INTERNAL_ERROR",
"1442840614","CCM_SIP_502_BAD_GATEWAY",
"1459617833","CCM_SIP_503_SERVICE_UNAVAILABLE",
"2801795135","CCM_SIP_503_SERVICE_UNAVAILABLE_SER_OPTION_NOAVAIL",
"1476395110","CCM_SIP__504_SERVER_TIME_OUT",
"1493172351","CCM_SIP_505_SIP_VERSION_NOT_SUPPORTED",
"1509949567","CCM_SIP_513_MESSAGE_TOO_LARGE",
"2701131793","CCM_SIP_600_BUSY_EVERYWHERE",
"2717909013","CCM_SIP_603_DECLINE",
"2734686209","CCM_SIP_604_DOES_NOT_EXIST_ANYWHERE",
"2751463455","CCM_SIP_606_NOT_ACCEPTABLE"
